date,reinfected_0,reinfected_1,reinfected_NA
2020-03-05,0.0012662234884457107,3.1655587211142766e-4,0.9984172206394428
2020-03-12,6.548788474132286e-4,1.6371971185330714e-4,0.9991814014407334
2020-03-19,0.0021821355833575792,2.909514111143439e-4,0.9975269130055281
2020-03-26,0.0011545677586953383,2.886419396738346e-4,0.9985567903016308
2020-04-02,5.777841976021956e-4,1.444460494005489e-4,0.9992777697529972
2020-04-09,9.663703131039815e-4,1.9327406262079628e-4,0.9988403556242752
2020-04-16,0.003793405310767435,NA,0.9962065946892326
2020-04-23,0.0046168051708217915,4.616805170821791e-4,0.9949215143120961
2020-04-30,0.002616088947024199,6.540222367560497e-4,0.9967298888162197
2020-05-07,8.110300081103001e-4,NA,0.9991889699918897
2020-05-14,NA,NA,1
2020-05-21,0.0027675276752767526,NA,0.9972324723247232
2020-05-28,0.001876172607879925,NA,0.99812382739212
2020-06-04,NA,NA,1
2020-06-11,NA,NA,1
2020-06-18,0.005859375,NA,0.994140625
2020-06-25,0.0044742729306487695,0.0022371364653243847,0.9932885906040269
2020-07-02,0.0128,0.0016,0.9856
2020-07-09,0.0061403508771929825,8.771929824561404e-4,0.9929824561403509
2020-07-16,0.003778337531486146,0.001889168765743073,0.9943324937027708
2020-07-23,0.0027913468248429866,3.489183531053733e-4,0.9968597348220516
2020-07-30,2.421893921046258e-4,2.421893921046258e-4,0.9995156212157907
2020-08-06,7.749935417204857e-4,NA,0.9992250064582795
2020-08-13,8.741258741258741e-4,NA,0.9991258741258742
2020-08-20,0.0025303643724696357,NA,0.9974696356275303
2020-08-27,0.0012724669953873072,NA,0.9987275330046127
2020-09-03,0.0013022044460980374,3.7205841317086783e-4,0.9983257371407311
2020-09-10,0.0012312238364934746,NA,0.9987687761635066
2020-09-17,0.0026478793323561397,9.456711901271928e-5,0.9972575535486311
2020-09-24,0.004316591126321956,1.5416396879721272e-4,0.9955292449048808
2020-10-01,0.0049411360316232705,1.074160006874624e-4,0.9949514479676893
2020-10-08,0.019408454161333872,4.0324701509546434e-4,0.9801882988235706
2020-10-15,0.1554237706943415,0.0011273783049172226,0.8434488510007413
2020-10-22,0.7340111274216641,0.004893165878323275,0.2610957067000127
2020-10-29,0.8393933405789942,0.005681256792807035,0.1549254026281988
2020-11-05,0.8600092313540224,0.006081833238304689,0.13390893540767287
2020-11-12,0.8669918161527651,0.005152792703425091,0.12785539114380975
2020-11-19,0.8856785043384918,0.005844291379670215,0.10847720428183796
2020-11-26,0.8954394026421597,0.007352096496266514,0.0972085008615738
2020-12-03,0.8976009920351028,0.007376671277086215,0.095022336687811
2020-12-10,0.8966449802270697,0.007858145171578007,0.09549687460135221
2020-12-17,0.8999560945330124,0.009068749905376148,0.09097515556161148
2020-12-24,0.9039781286614964,0.009578009633803865,0.08644386170469974
2020-12-31,0.9045624409675167,0.011724364502484498,0.08371319452999877
2021-01-07,0.9009433962264151,0.012155297532656022,0.08690130624092889
2021-01-14,0.8968820812896193,0.015890772452169924,0.08722714625821071
2021-01-21,0.883444123481711,0.01639230153482059,0.10016357498346849
2021-01-28,0.8811210467231835,0.018309913676305502,0.10056903960051097
2021-02-04,0.8879292532749287,0.02082730691350882,0.09124343981156247
2021-02-11,0.8883620245335533,0.025014603305501152,0.08662337216094561
2021-02-18,0.8900944151064171,0.03168506961113778,0.0782205152824452
2021-02-25,0.8884591194968553,0.03550314465408805,0.0760377358490566
2021-03-04,0.8920379579823404,0.0330356236679184,0.07492641834974119
2021-03-11,0.895582066072365,0.02984618073763328,0.07457175319000174
2021-03-18,0.8988583280029463,0.03169157411176368,0.06945009788529007
2021-03-25,0.902636452545935,0.026780697921218552,0.07058284953284641
2021-04-01,0.9081653104581713,0.02383052070389225,0.06800416883793642
2021-04-08,0.9074347428016218,0.02245931351482651,0.07010594368355164
2021-04-15,0.910460881577295,0.022048402432679717,0.06749071599002529
2021-04-22,0.9093591408001889,0.02309296195759078,0.06754789724222039
2021-04-29,0.9082791858513706,0.024527733551357633,0.06719308059727183
2021-05-06,0.9127345242107628,0.02317155375800472,0.06409392203123244
2021-05-13,0.9066015788871515,0.02528507684680218,0.0681133442660463
2021-05-20,0.906738571145854,0.02572729071838512,0.06753413813576094
2021-05-27,0.9051665533650578,0.027328348062542487,0.06750509857239972
2021-06-03,0.8868565169769989,0.04249726177437021,0.07064622124863089
2021-06-10,0.8814502529510961,0.05311973018549747,0.06543001686340641
2021-06-17,0.8514967259120674,0.06594948550046772,0.08255378858746493
2021-06-24,0.8338235294117647,0.07259358288770053,0.09358288770053476
2021-07-01,0.7950159550220331,0.05654535784835132,0.14843868712961555
2021-07-08,0.7895692263362628,0.043019737789943814,0.1674110358737934
2021-07-15,0.8235935050094342,0.04076643014696112,0.13564006484360466
2021-07-22,0.8330658105939005,0.04329282274707636,0.12364136665902316
2021-07-29,0.8269376346590578,0.041635124905374715,0.13142724043556747
2021-08-05,0.8240930456791612,0.040556827769073156,0.1353501265517657
2021-08-12,0.8289885913578058,0.04202872849796063,0.1289826801442336
2021-08-19,0.8317881562174064,0.041835670413721174,0.1263761733688724
2021-08-26,0.8359138533178114,0.04452852153667055,0.11955762514551804
2021-09-02,0.8414030692139054,0.04127779517694958,0.117319135609145
2021-09-09,0.8389507510649429,0.04551229355055676,0.11553695538450041
2021-09-16,0.8421915444348577,0.05030198446937015,0.10750647109577222
2021-09-23,0.8582182149061129,0.04632310364794441,0.09545868144594259
2021-09-30,0.8592271293375394,0.04579765660207301,0.09497521406038756
